##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	66-67	-0.09337141666726723
1104	68-69	-0.0926639702196752
1104	70-71	-0.1453040173881135
1104	72-73	-0.1176867941185833
1104	74-75	-0.11777891688876707
1104	76-77	-0.1763921275597724
1104	78-79	-0.045471785012232147
1104	80-81	-0.15735625922798846
1104	82-83	-0.17182333039583142
1104	84-85	-0.15367202752001674
1104	86-87	-0.12467037152519822
1104	88-89	-0.2083766560165401
1104	90-91	-0.2617306379643267
1104	92-93	-0.232159979693229
1104	94-95	-0.32774989209692507
1104	96-97	-0.3132725019209772
1104	98-99	-0.1024781291194401
1104	100-101	-0.27323600166382533
1105	1	-0.36087775105081477
1105	2	-0.6480580671310356
1105	3	-1.193669825947559
1105	4	-1.0959852043831972
1105	5	-0.9642211570189332
1105	6	-1.388231624975738
1105	7	-1.303041719151345
1105	8	-1.2991002563343343
1105	9	-1.2452376534904772
1105	10-11	-1.2378856739776012
1105	12-13	-0.4239219935539751
1105	14-15	-0.27806212749596426
1105	16-17	-0.1576402381126556
1105	18-19	-0.12073812027531972
1105	20-21	-0.1367477354780675
1105	22-23	-0.20419029521752208
1105	24-25	-0.15376935441637585
1105	26-27	-0.14252839693470776
1105	28-29	-0.15431197415285425
1105	30-31	-0.1653739301018291
1105	32-33	-0.007820292197166623
1105	34-35	-0.07340397264267295
1105	36-37	-0.030156458400355746
1105	38-39	-0.14437740409334765
1105	40-41	-0.2513695015429036
1105	42-43	-0.1996085103822196
1105	44-45	-0.1425781223647249
1105	46-47	-0.1238534288215476
1105	48-49	-0.026657096547261006
1105	50-51	-0.05513556755314397
1105	52-53	-0.10607269067030956
1105	54-55	0.10331042683920799
1105	56-57	-0.1648982129135632
1105	58-59	-0.14401127022178883
1105	60-61	-0.02373087870437729
1105	62-63	-0.14595357610706827
1105	64-65	-0.1818220953908849
1105	66-67	-0.10869892449542817
